doi,year,cited_by_count
https://doi.org/10.1002/smll.202207181,2025,16
https://doi.org/10.1002/smll.202207181,2024,84
https://doi.org/10.1002/smll.202207181,2023,19
https://doi.org/10.1109/tevc.2022.3175065,2025,10
https://doi.org/10.1109/tevc.2022.3175065,2024,60
https://doi.org/10.1109/tevc.2022.3175065,2023,25
https://doi.org/10.1109/tevc.2022.3175065,2022,6
https://doi.org/10.1002/lpor.202200597,2025,8
https://doi.org/10.1002/lpor.202200597,2024,54
https://doi.org/10.1002/lpor.202200597,2023,34
https://doi.org/10.1016/j.cscm.2023.e02410,2025,5
https://doi.org/10.1016/j.cscm.2023.e02410,2024,81
https://doi.org/10.1016/j.cscm.2023.e02410,2023,5
https://doi.org/10.1016/j.ijpe.2023.108913,2025,22
https://doi.org/10.1016/j.ijpe.2023.108913,2024,71
https://doi.org/10.1016/j.ijpe.2023.108913,2023,15
https://doi.org/10.1007/s40820-023-01046-0,2025,16
https://doi.org/10.1007/s40820-023-01046-0,2024,60
https://doi.org/10.1007/s40820-023-01046-0,2023,22
https://doi.org/10.1038/s41467-023-41675-y,2025,23
https://doi.org/10.1038/s41467-023-41675-y,2024,73
https://doi.org/10.1038/s41467-023-41675-y,2023,1
https://doi.org/10.1038/s41467-023-38079-3,2025,18
https://doi.org/10.1038/s41467-023-38079-3,2024,74
https://doi.org/10.1038/s41467-023-38079-3,2023,17
https://doi.org/10.1002/adfm.202211385,2025,6
https://doi.org/10.1002/adfm.202211385,2024,48
https://doi.org/10.1002/adfm.202211385,2023,46
https://doi.org/10.1002/adfm.202302621,2025,10
https://doi.org/10.1002/adfm.202302621,2024,75
https://doi.org/10.1002/adfm.202302621,2023,14
https://doi.org/10.1002/adma.202208904,2025,4
https://doi.org/10.1002/adma.202208904,2024,56
https://doi.org/10.1002/adma.202208904,2023,24
https://doi.org/10.1016/j.rser.2022.112991,2025,12
https://doi.org/10.1016/j.rser.2022.112991,2024,40
https://doi.org/10.1016/j.rser.2022.112991,2023,41
https://doi.org/10.1016/j.rser.2022.112991,2022,2
https://doi.org/10.1002/smll.202206533,2025,16
https://doi.org/10.1002/smll.202206533,2024,51
https://doi.org/10.1002/smll.202206533,2023,26
https://doi.org/10.1016/j.cemconres.2023.107284,2025,17
https://doi.org/10.1016/j.cemconres.2023.107284,2024,74
https://doi.org/10.1016/j.cemconres.2023.107284,2023,4
https://doi.org/10.1038/s41565-023-01343-0,2025,19
https://doi.org/10.1038/s41565-023-01343-0,2024,49
https://doi.org/10.1038/s41565-023-01343-0,2023,24
https://doi.org/10.1016/j.jmsy.2023.08.023,2025,24
https://doi.org/10.1016/j.jmsy.2023.08.023,2024,70
https://doi.org/10.1016/j.jmsy.2023.08.023,2023,3
https://doi.org/10.1016/j.biotechadv.2023.108181,2025,12
https://doi.org/10.1016/j.biotechadv.2023.108181,2024,67
https://doi.org/10.1016/j.biotechadv.2023.108181,2023,16
https://doi.org/10.1016/j.apcatb.2023.122388,2025,8
https://doi.org/10.1016/j.apcatb.2023.122388,2024,38
https://doi.org/10.1016/j.apcatb.2023.122388,2023,46
https://doi.org/10.1007/s11465-022-0719-x,2025,5
https://doi.org/10.1007/s11465-022-0719-x,2024,29
https://doi.org/10.1007/s11465-022-0719-x,2023,32
https://doi.org/10.1007/s11465-022-0719-x,2022,23
https://doi.org/10.1016/j.jobe.2022.105451,2025,6
https://doi.org/10.1016/j.jobe.2022.105451,2024,33
https://doi.org/10.1016/j.jobe.2022.105451,2023,44
https://doi.org/10.1016/j.jobe.2022.105451,2022,8
https://doi.org/10.1038/s41928-023-01055-2,2025,25
https://doi.org/10.1038/s41928-023-01055-2,2024,55
https://doi.org/10.1038/s41928-023-01055-2,2023,1
https://doi.org/10.1016/j.resourpol.2022.103268,2025,6
https://doi.org/10.1016/j.resourpol.2022.103268,2024,56
https://doi.org/10.1016/j.resourpol.2022.103268,2023,32
https://doi.org/10.1021/jacs.3c04727,2025,15
https://doi.org/10.1021/jacs.3c04727,2024,63
https://doi.org/10.1021/jacs.3c04727,2023,13
https://doi.org/10.1108/tr-04-2023-620,2025,17
https://doi.org/10.1108/tr-04-2023-620,2024,60
https://doi.org/10.1108/tr-04-2023-620,2023,11
https://doi.org/10.1007/s11465-022-0720-4,2025,3
https://doi.org/10.1007/s11465-022-0720-4,2024,28
https://doi.org/10.1007/s11465-022-0720-4,2023,48
https://doi.org/10.1007/s11465-022-0720-4,2022,18
https://doi.org/10.1016/j.tourman.2022.104707,2025,11
