doi,oa_id,oa_doi,oa_title,oa_display_name,oa_publication_year,oa_publication_date,oa_language,oa_type,oa_cited_by_count,oa_fwci,oa_is_retracted,oa_updated_date,oa_created_date,oa_primary_location_is_oa,oa_primary_location_landing_page_url,oa_primary_location_source_id,oa_primary_location_source_name,oa_primary_location_source_issn_l,oa_primary_location_source_is_oa,oa_primary_location_source_is_indexed_in_scopus,oa_primary_location_source_host_org_name,oa_primary_location_source_host_org_lineage_names,oa_primary_location_source_type,oa_biblio_volume,oa_biblio_issue,oa_biblio_first_page,oa_biblio_last_page,oa_primary_topic_id,oa_primary_topic_name,oa_primary_topic_score,oa_primary_topic_subfield_name,oa_primary_topic_field_name,oa_primary_topic_domain_name,oa_cnp_value,oa_cnp_is_top_1_percent,oa_cnp_is_top_10_percent,oa_cbpy_min,oa_cbpy_max,oa_status
https://doi.org/10.1177/14759217221116637,https://openalex.org/W4290653245,https://doi.org/10.1177/14759217221116637,Displacement response estimation of a cable-stayed bridge subjected to various loading conditions with one-dimensional residual convolutional autoencoder method,Displacement response estimation of a cable-stayed bridge subjected to various loading conditions with one-dimensional residual convolutional autoencoder method,2022.0,8/8/2022,en,article,26.0,3.602,False,2025-04-18T14:20:10.825989,8/8/2022,False,https://doi.org/10.1177/14759217221116637,https://openalex.org/S46950560,Structural Health Monitoring,1475-9217,False,True,SAGE Publishing,"[""SAGE Publishing""]",journal,22,3,1790,1806,https://openalex.org/T10534,Structural Health Monitoring Techniques,0.9999,Civil and Structural Engineering,Engineering,Physical Sciences,0.999959,True,True,96.0,97.0,Success
https://doi.org/10.1080/00207543.2022.2072785,https://openalex.org/W4280623880,https://doi.org/10.1080/00207543.2022.2072785,Blockchain-enabled traceability and producer’s incentive to outsource delivery,Blockchain-enabled traceability and producer’s incentive to outsource delivery,2022.0,12/5/2022,en,article,28.0,10.218,False,2025-04-24T05:55:03.708289,22/5/2022,False,https://doi.org/10.1080/00207543.2022.2072785,https://openalex.org/S65690446,International Journal of Production Research,0020-7543,False,True,Taylor & Francis,"[""Taylor & Francis""]",journal,61,11,3811,3828,https://openalex.org/T10270,Blockchain Technology Applications and Security,0.9995,Information Systems,Computer Science,Physical Sciences,0.999981,True,True,97.0,98.0,Success
https://doi.org/10.1002/eem2.12355,https://openalex.org/W4207056669,https://doi.org/10.1002/eem2.12355,"Designing Advanced Liquid Electrolytes for Alkali Metal Batteries: Principles, Progress, and Perspectives","Designing Advanced Liquid Electrolytes for Alkali Metal Batteries: Principles, Progress, and Perspectives",2022.0,23/1/2022,en,article,33.0,3.494,False,2025-04-19T10:31:05.441003,26/1/2022,True,https://doi.org/10.1002/eem2.12355,https://openalex.org/S4210219471,Energy & environment materials,2575-0348,True,True,Wiley,"[""Wiley""]",journal,6,2,,,https://openalex.org/T10281,Advanced Battery Materials and Technologies,1.0,Electrical and Electronic Engineering,Engineering,Physical Sciences,0.999985,True,True,97.0,98.0,Success
https://doi.org/10.1109/tii.2022.3165870,https://openalex.org/W4225860152,https://doi.org/10.1109/tii.2022.3165870,Deep Extreme Learning Machines Based Two-Phase Spatiotemporal Modeling for Distributed Parameter Systems,Deep Extreme Learning Machines Based Two-Phase Spatiotemporal Modeling for Distributed Parameter Systems,2022.0,8/4/2022,en,article,17.0,2.389,False,2025-04-20T07:42:41.219975,5/5/2022,False,https://doi.org/10.1109/tii.2022.3165870,https://openalex.org/S184777250,IEEE Transactions on Industrial Informatics,1551-3203,False,True,Institute of Electrical and Electronics Engineers,"[""Institute of Electrical and Electronics Engineers""]",journal,19,3,2919,2929,https://openalex.org/T12676,Machine Learning and ELM,1.0,Artificial Intelligence,Computer Science,Physical Sciences,0.803304,False,False,94.0,95.0,Success
https://doi.org/10.1080/21650373.2022.2050831,https://openalex.org/W4220712409,https://doi.org/10.1080/21650373.2022.2050831,"Workability, strength, and shrinkage of ultra-high-performance seawater, sea sand concrete with different OPC replacement ratios","Workability, strength, and shrinkage of ultra-high-performance seawater, sea sand concrete with different OPC replacement ratios",2022.0,17/3/2022,en,article,25.0,3.464,False,2025-04-20T11:19:30.797651,3/4/2022,False,https://doi.org/10.1080/21650373.2022.2050831,https://openalex.org/S2764549728,Journal of Sustainable Cement-Based Materials,2165-0373,False,True,Taylor & Francis,"[""Taylor & Francis""]",journal,12,3,271,291,https://openalex.org/T10687,Innovative concrete reinforcement materials,0.9997,Civil and Structural Engineering,Engineering,Physical Sciences,0.749377,False,False,96.0,97.0,Success
https://doi.org/10.1002/dro2.74,https://openalex.org/W4383955707,https://doi.org/10.1002/dro2.74,Programmable droplet manipulation enabled by charged‐surface pattern reconfiguration,Programmable droplet manipulation enabled by charged‐surface pattern reconfiguration,2023.0,1/7/2023,en,article,24.0,4.743,False,2025-04-22T21:25:25.673130,12/7/2023,True,https://doi.org/10.1002/dro2.74,https://openalex.org/S4387281887,Droplet,2731-4375,True,True,Wiley,"[""Wiley""]",journal,2,3,,,https://openalex.org/T12452,Electrowetting and Microfluidic Technologies,0.9998,Electrical and Electronic Engineering,Engineering,Physical Sciences,0.999987,True,True,98.0,99.0,Success
https://doi.org/10.1016/j.xcrp.2023.101673,https://openalex.org/W4388424819,https://doi.org/10.1016/j.xcrp.2023.101673,Flexible organic electrochemical transistors for bioelectronics,Flexible organic electrochemical transistors for bioelectronics,2023.0,1/11/2023,en,article,20.0,3.309,False,2025-04-22T20:55:01.560963,7/11/2023,True,https://doi.org/10.1016/j.xcrp.2023.101673,https://openalex.org/S4210216867,Cell Reports Physical Science,2666-3864,True,True,Elsevier BV,"[""Elsevier BV""]",journal,4,11,101673,101673,https://openalex.org/T10660,Conducting polymers and applications,1.0,Polymers and Plastics,Materials Science,Physical Sciences,0.999855,True,True,97.0,98.0,Success
https://doi.org/10.1016/j.asej.2023.102551,https://openalex.org/W4388483572,https://doi.org/10.1016/j.asej.2023.102551,Evaluation of success factors of utilizing AI in digital transformation of health and safety management systems in modern construction projects,Evaluation of success factors of utilizing AI in digital transformation of health and safety management systems in modern construction projects,2023.0,1/11/2023,en,article,21.0,9.062,False,2025-04-18T02:44:35.253970,9/11/2023,True,https://doi.org/10.1016/j.asej.2023.102551,https://openalex.org/S2764993483,Ain Shams Engineering Journal,2090-4479,True,True,Elsevier BV,"[""Elsevier BV""]",journal,14,11,102551,102551,https://openalex.org/T10809,Occupational Health and Safety Research,0.9996,Radiological and Ultrasound Technology,Health Professions,Health Sciences,0.809065,False,False,97.0,98.0,Success
https://doi.org/10.1186/s43074-023-00114-3,https://openalex.org/W4387973580,https://doi.org/10.1186/s43074-023-00114-3,Chip-to-chip optical multimode communication with universal mode processors,Chip-to-chip optical multimode communication with universal mode processors,2023.0,27/10/2023,en,article,20.0,5.416,False,2025-04-18T17:58:39.613335,28/10/2023,True,https://doi.org/10.1186/s43074-023-00114-3,https://openalex.org/S3035551292,PhotoniX,2662-1991,True,True,Springer Nature,"[""Springer Nature""]",journal,4,1,,,https://openalex.org/T12611,Neural Networks and Reservoir Computing,0.9999,Artificial Intelligence,Computer Science,Physical Sciences,0.790601,False,False,97.0,98.0,Success
https://doi.org/10.1016/j.autcon.2023.105130,https://openalex.org/W4387834151,https://doi.org/10.1016/j.autcon.2023.105130,Corrosion assessment using ground penetrating radar in reinforced concrete structures: Influential factors and analysis methods,Corrosion assessment using ground penetrating radar in reinforced concrete structures: Influential factors and analysis methods,2023.0,20/10/2023,en,article,25.0,8.115,False,2025-04-16T14:08:31.246925,21/10/2023,False,https://doi.org/10.1016/j.autcon.2023.105130,https://openalex.org/S172073041,Automation in Construction,0926-5805,False,True,Elsevier BV,"[""Elsevier BV""]",journal,156,,105130,105130,https://openalex.org/T11609,Geophysical Methods and Applications,0.9999,Ocean Engineering,Engineering,Physical Sciences,0.783337,False,False,98.0,99.0,Success
