doi,oa_id,oa_doi,oa_title,oa_display_name,oa_publication_year,oa_publication_date,oa_language,oa_type,oa_cited_by_count,oa_fwci,oa_is_retracted,oa_updated_date,oa_created_date,oa_primary_location_is_oa,oa_primary_location_landing_page_url,oa_primary_location_source_id,oa_primary_location_source_name,oa_primary_location_source_issn_l,oa_primary_location_source_is_oa,oa_primary_location_source_is_indexed_in_scopus,oa_primary_location_source_host_org_name,oa_primary_location_source_host_org_lineage_names,oa_primary_location_source_type,oa_biblio_volume,oa_biblio_issue,oa_biblio_first_page,oa_biblio_last_page,oa_primary_topic_id,oa_primary_topic_name,oa_primary_topic_score,oa_primary_topic_subfield_name,oa_primary_topic_field_name,oa_primary_topic_domain_name,oa_cnp_value,oa_cnp_is_top_1_percent,oa_cnp_is_top_10_percent,oa_cbpy_min,oa_cbpy_max,oa_status
https://doi.org/10.1016/j.apmt.2019.100484,https://openalex.org/W2988877673,https://doi.org/10.1016/j.apmt.2019.100484,Clothing spiny nanoprobes against the mononuclear phagocyte system clearance in vivo: Photoacoustic diagnosis and photothermal treatment of early stage liver cancer with erythrocyte membrane-camouflaged gold nanostars,Clothing spiny nanoprobes against the mononuclear phagocyte system clearance in vivo: Photoacoustic diagnosis and photothermal treatment of early stage liver cancer with erythrocyte membrane-camouflaged gold nanostars,2019.0,6/11/2019,en,article,34.0,2.176,False,2025-04-18T21:22:16.332500,22/11/2019,True,https://doi.org/10.1016/j.apmt.2019.100484,https://openalex.org/S2764609219,Applied Materials Today,2352-9407,False,True,Elsevier BV,"[""Elsevier BV""]",journal,18,,100484,100484,https://openalex.org/T10782,Nanoplatforms for cancer theranostics,0.9999,Biomedical Engineering,Engineering,Physical Sciences,0.80124,False,False,94.0,95.0,Success
https://doi.org/10.1016/j.conbuildmat.2019.117542,https://openalex.org/W2989090411,https://doi.org/10.1016/j.conbuildmat.2019.117542,Effects of water content on resilient modulus of a granular material with high fines content,Effects of water content on resilient modulus of a granular material with high fines content,2019.0,15/11/2019,en,article,31.0,3.269,False,2025-04-19T11:46:56.192374,22/11/2019,False,https://doi.org/10.1016/j.conbuildmat.2019.117542,https://openalex.org/S29980478,Construction and Building Materials,0950-0618,False,True,Elsevier BV,"[""Elsevier BV""]",journal,236,,117542,117542,https://openalex.org/T12233,Geotechnical Engineering and Underground Structures,0.9999,Civil and Structural Engineering,Engineering,Physical Sciences,0.873526,False,False,94.0,95.0,Success
https://doi.org/10.1016/j.tmp.2019.100586,https://openalex.org/W2987834344,https://doi.org/10.1016/j.tmp.2019.100586,Young children's vacation experience: Through the eyes of parents,Young children's vacation experience: Through the eyes of parents,2019.0,6/11/2019,en,article,30.0,6.437,False,2025-04-18T12:43:21.351560,22/11/2019,False,https://doi.org/10.1016/j.tmp.2019.100586,https://openalex.org/S2764590662,Tourism Management Perspectives,2211-9736,False,True,Elsevier BV,"[""Elsevier BV""]",journal,33,,100586,100586,https://openalex.org/T10055,Diverse Aspects of Tourism Research,0.9993,Sociology and Political Science,Social Sciences,Social Sciences,0.964596,False,True,94.0,95.0,Success
https://doi.org/10.1016/j.jechem.2019.07.011,https://openalex.org/W2963413283,https://doi.org/10.1016/j.jechem.2019.07.011,Realizing high-performance Zn-ion batteries by a reduced graphene oxide block layer at room and low temperatures,Realizing high-performance Zn-ion batteries by a reduced graphene oxide block layer at room and low temperatures,2019.0,25/7/2019,en,article,34.0,1.278,False,2025-04-18T12:40:04.276670,30/7/2019,False,https://doi.org/10.1016/j.jechem.2019.07.011,https://openalex.org/S2500128275,Journal of Energy Chemistry,2095-4956,False,True,Elsevier BV,"[""Elsevier BV""]",journal,43,,1,7,https://openalex.org/T11690,Advanced battery technologies research,1.0,Electrical and Electronic Engineering,Engineering,Physical Sciences,0.999986,True,True,94.0,95.0,Success
https://doi.org/10.1016/j.jhazmat.2019.121034,https://openalex.org/W2969202842,https://doi.org/10.1016/j.jhazmat.2019.121034,Recycling hazardous textile effluent sludge in cement-based construction materials: Physicochemical interactions between sludge and cement,Recycling hazardous textile effluent sludge in cement-based construction materials: Physicochemical interactions between sludge and cement,2019.0,17/8/2019,en,article,34.0,2.56,False,2025-04-16T19:50:57.242994,22/8/2019,False,https://doi.org/10.1016/j.jhazmat.2019.121034,https://openalex.org/S145089992,Journal of Hazardous Materials,0304-3894,False,True,Elsevier BV,"[""Elsevier BV""]",journal,381,,121034,121034,https://openalex.org/T11672,Recycling and utilization of industrial and municipal waste in materials production,0.9965,Building and Construction,Engineering,Physical Sciences,0.782416,False,False,94.0,95.0,Success
https://doi.org/10.1016/j.ijhm.2019.102355,https://openalex.org/W2968399530,https://doi.org/10.1016/j.ijhm.2019.102355,"Entrepreneurial bricolage, ambidexterity structure, and new venture growth: Evidence from the hospitality and tourism sector","Entrepreneurial bricolage, ambidexterity structure, and new venture growth: Evidence from the hospitality and tourism sector",2019.0,17/8/2019,en,article,32.0,4.402,False,2025-04-23T02:56:03.363357,22/8/2019,False,https://doi.org/10.1016/j.ijhm.2019.102355,https://openalex.org/S148599315,International Journal of Hospitality Management,0278-4319,False,True,Elsevier BV,"[""Elsevier BV""]",journal,85,,102355,102355,https://openalex.org/T10058,Entrepreneurship Studies and Influences,0.9993,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences,0.947403,False,True,94.0,95.0,Success
https://doi.org/10.1111/cxo.12933,https://openalex.org/W2954601613,https://doi.org/10.1111/cxo.12933,The influence of orthokeratology compression factor on ocular higher‐order aberrations,The influence of orthokeratology compression factor on ocular higher‐order aberrations,2019.0,2/7/2019,en,article,25.0,1.934,False,2025-04-21T02:14:05.434160,12/7/2019,False,https://doi.org/10.1111/cxo.12933,https://openalex.org/S110643388,Clinical and Experimental Optometry,0816-4622,False,True,Taylor & Francis,"[""Taylor & Francis""]",journal,103,1,123,128,https://openalex.org/T10381,Ophthalmology and Visual Impairment Studies,0.9999,Epidemiology,Medicine,Health Sciences,0.889264,False,False,92.0,93.0,Success
https://doi.org/10.1007/s10668-018-00303-2,https://openalex.org/W2903897720,https://doi.org/10.1007/s10668-018-00303-2,Current strategic planning for sustainability in international shipping,Current strategic planning for sustainability in international shipping,2018.0,7/12/2018,en,article,33.0,3.291,False,2025-04-21T02:49:12.440374,22/12/2018,True,https://doi.org/10.1007/s10668-018-00303-2,https://openalex.org/S155209994,Environment Development and Sustainability,1387-585X,False,True,Springer Science+Business Media,"[""Springer Nature"", ""Springer Science+Business Media""]",journal,22,3,1729,1747,https://openalex.org/T11223,Maritime Ports and Logistics,0.9994,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,0.883336,False,False,94.0,95.0,Success
https://doi.org/10.1016/j.enggeo.2020.105911,https://openalex.org/W3096542451,https://doi.org/10.1016/j.enggeo.2020.105911,Straightforward prediction for air-entry value of compacted soils using machine learning algorithms,Straightforward prediction for air-entry value of compacted soils using machine learning algorithms,2020.0,7/11/2020,en,article,30.0,2.361,False,2025-04-18T12:51:56.801976,9/11/2020,False,https://doi.org/10.1016/j.enggeo.2020.105911,https://openalex.org/S65957803,Engineering Geology,0013-7952,False,True,Elsevier BV,"[""Elsevier BV""]",journal,279,,105911,105911,https://openalex.org/T10716,Soil and Unsaturated Flow,0.9994,Civil and Structural Engineering,Engineering,Physical Sciences,0.999963,True,True,94.0,95.0,Success
https://doi.org/10.1108/ijchm-03-2020-0234,https://openalex.org/W3094351852,https://doi.org/10.1108/ijchm-03-2020-0234,How does review disconfirmation influence customer online review behavior? A mixed-method investigation,How does review disconfirmation influence customer online review behavior? A mixed-method investigation,2020.0,22/10/2020,en,review,30.0,1.111,False,2025-04-19T12:45:45.134980,29/10/2020,False,https://doi.org/10.1108/ijchm-03-2020-0234,https://openalex.org/S125977778,International Journal of Contemporary Hospitality Management,0959-6119,False,True,Emerald Publishing Limited,"[""Emerald Publishing Limited""]",journal,32,11,3685,3703,https://openalex.org/T10609,Digital Marketing and Social Media,0.9999,Sociology and Political Science,Social Sciences,Social Sciences,0.75831,False,False,94.0,95.0,Success
