doi,year,cited_by_count
https://doi.org/10.1002/inf2.12278,2023,14
https://doi.org/10.1002/inf2.12278,2022,6
https://doi.org/10.1016/j.seppur.2022.120890,2024,6
https://doi.org/10.1016/j.seppur.2022.120890,2023,10
https://doi.org/10.1016/j.seppur.2022.120890,2022,3
https://doi.org/10.1016/j.jobe.2022.104399,2025,2
https://doi.org/10.1016/j.jobe.2022.104399,2024,9
https://doi.org/10.1016/j.jobe.2022.104399,2023,10
https://doi.org/10.1016/j.jobe.2022.104399,2022,2
https://doi.org/10.1016/j.scs.2022.103869,2025,4
https://doi.org/10.1016/j.scs.2022.103869,2024,12
https://doi.org/10.1016/j.scs.2022.103869,2023,8
https://doi.org/10.1016/j.scs.2022.103869,2022,2
https://doi.org/10.1016/j.colsurfb.2022.112480,2025,1
https://doi.org/10.1016/j.colsurfb.2022.112480,2024,7
https://doi.org/10.1016/j.colsurfb.2022.112480,2023,11
https://doi.org/10.1016/j.colsurfb.2022.112480,2022,1
https://doi.org/10.2147/rmhp.s351794,2024,4
https://doi.org/10.2147/rmhp.s351794,2023,11
https://doi.org/10.2147/rmhp.s351794,2022,7
https://doi.org/10.1007/s12274-022-4156-2,2025,1
https://doi.org/10.1007/s12274-022-4156-2,2024,6
https://doi.org/10.1007/s12274-022-4156-2,2023,9
https://doi.org/10.1007/s12274-022-4156-2,2022,5
https://doi.org/10.1007/s12274-022-4112-1,2025,4
https://doi.org/10.1007/s12274-022-4112-1,2024,7
https://doi.org/10.1007/s12274-022-4112-1,2023,5
https://doi.org/10.1007/s12274-022-4112-1,2022,2
https://doi.org/10.1016/j.ocecoaman.2022.106127,2025,2
https://doi.org/10.1016/j.ocecoaman.2022.106127,2024,5
https://doi.org/10.1016/j.ocecoaman.2022.106127,2023,12
https://doi.org/10.1016/j.ocecoaman.2022.106127,2022,4
https://doi.org/10.3389/fendo.2022.818888,2025,2
https://doi.org/10.3389/fendo.2022.818888,2024,9
https://doi.org/10.3389/fendo.2022.818888,2023,10
https://doi.org/10.3389/fendo.2022.818888,2022,2
https://doi.org/10.1007/s11356-022-19227-6,2025,2
https://doi.org/10.1007/s11356-022-19227-6,2024,9
https://doi.org/10.1007/s11356-022-19227-6,2023,11
https://doi.org/10.1007/s11356-022-19227-6,2022,4
https://doi.org/10.1109/tnse.2022.3149328,2024,5
https://doi.org/10.1109/tnse.2022.3149328,2023,11
https://doi.org/10.1109/tnse.2022.3149328,2022,4
https://doi.org/10.1016/j.ijpe.2022.108438,2025,4
https://doi.org/10.1016/j.ijpe.2022.108438,2024,7
https://doi.org/10.1016/j.ijpe.2022.108438,2023,6
https://doi.org/10.1016/j.ijpe.2022.108438,2022,7
https://doi.org/10.3390/nu14040825,2025,1
https://doi.org/10.3390/nu14040825,2024,6
https://doi.org/10.3390/nu14040825,2023,9
https://doi.org/10.3390/nu14040825,2022,5
https://doi.org/10.1002/jtr.2515,2024,15
https://doi.org/10.1002/jtr.2515,2023,6
https://doi.org/10.1002/jtr.2515,2022,4
https://doi.org/10.1109/mnet.011.2000654,2023,12
https://doi.org/10.1109/mnet.011.2000654,2022,5
https://doi.org/10.1109/mnet.011.2000654,2021,1
https://doi.org/10.1039/d1nr07613b,2024,10
https://doi.org/10.1039/d1nr07613b,2023,6
https://doi.org/10.1039/d1nr07613b,2022,6
https://doi.org/10.1109/tpami.2020.3024207,2025,1
https://doi.org/10.1109/tpami.2020.3024207,2024,6
https://doi.org/10.1109/tpami.2020.3024207,2023,8
https://doi.org/10.1109/tpami.2020.3024207,2022,7
https://doi.org/10.1109/tpami.2020.3024207,2021,6
https://doi.org/10.1109/tpami.2020.3024207,2020,1
https://doi.org/10.3389/fcell.2021.783227,2025,1
https://doi.org/10.3389/fcell.2021.783227,2024,11
https://doi.org/10.3389/fcell.2021.783227,2023,6
https://doi.org/10.3389/fcell.2021.783227,2022,5
https://doi.org/10.1016/j.chiabu.2021.105457,2025,1
https://doi.org/10.1016/j.chiabu.2021.105457,2024,10
https://doi.org/10.1016/j.chiabu.2021.105457,2023,7
https://doi.org/10.1016/j.chiabu.2021.105457,2022,7
https://doi.org/10.1016/j.firesaf.2022.103524,2024,10
https://doi.org/10.1016/j.firesaf.2022.103524,2023,3
https://doi.org/10.1016/j.firesaf.2022.103524,2022,9
https://doi.org/10.1016/j.mtchem.2021.100712,2025,1
https://doi.org/10.1016/j.mtchem.2021.100712,2024,7
https://doi.org/10.1016/j.mtchem.2021.100712,2023,5
https://doi.org/10.1016/j.mtchem.2021.100712,2022,9
https://doi.org/10.1016/j.cej.2021.134071,2025,3
https://doi.org/10.1016/j.cej.2021.134071,2024,5
https://doi.org/10.1016/j.cej.2021.134071,2023,9
https://doi.org/10.1016/j.cej.2021.134071,2022,5
https://doi.org/10.1021/acs.jmedchem.1c01591,2025,3
https://doi.org/10.1021/acs.jmedchem.1c01591,2024,4
https://doi.org/10.1021/acs.jmedchem.1c01591,2023,15
https://doi.org/10.1021/acs.jmedchem.1c01591,2022,4
https://doi.org/10.1016/j.ijheatmasstransfer.2021.122316,2025,1
https://doi.org/10.1016/j.ijheatmasstransfer.2021.122316,2024,7
https://doi.org/10.1016/j.ijheatmasstransfer.2021.122316,2023,10
https://doi.org/10.1016/j.ijheatmasstransfer.2021.122316,2022,5
https://doi.org/10.1016/j.agrformet.2021.108759,2025,2
https://doi.org/10.1016/j.agrformet.2021.108759,2024,8
https://doi.org/10.1016/j.agrformet.2021.108759,2023,8
https://doi.org/10.1016/j.agrformet.2021.108759,2022,4
https://doi.org/10.1007/s00170-021-08114-y,2025,3
https://doi.org/10.1007/s00170-021-08114-y,2024,10
https://doi.org/10.1007/s00170-021-08114-y,2023,9
https://doi.org/10.1007/s00170-021-08114-y,2022,2
https://doi.org/10.1016/j.est.2021.103629,2025,2
https://doi.org/10.1016/j.est.2021.103629,2024,10
https://doi.org/10.1016/j.est.2021.103629,2023,8
https://doi.org/10.1016/j.est.2021.103629,2022,6
https://doi.org/10.1016/j.ijhm.2021.103105,2025,2
