doi,year,cited_by_count
https://doi.org/10.3390/mi14071436,2024,2
https://doi.org/10.3390/mi14071436,2023,2
https://doi.org/10.1016/j.energy.2023.128434,2025,1
https://doi.org/10.1016/j.energy.2023.128434,2024,3
https://doi.org/10.1016/j.energy.2023.128434,2023,2
https://doi.org/10.1073/pnas.2305567120,2025,1
https://doi.org/10.1073/pnas.2305567120,2024,5
https://doi.org/10.1016/j.jhydrol.2023.129953,2025,2
https://doi.org/10.1016/j.jhydrol.2023.129953,2024,4
https://doi.org/10.1016/j.jhydrol.2023.129953,2023,1
https://doi.org/10.1016/j.buildenv.2023.110624,2024,5
https://doi.org/10.1016/j.buildenv.2023.110624,2023,1
https://doi.org/10.1016/j.energy.2023.128371,2025,1
https://doi.org/10.1016/j.energy.2023.128371,2024,5
https://doi.org/10.1016/j.mtphys.2023.101175,2025,3
https://doi.org/10.1016/j.mtphys.2023.101175,2024,4
https://doi.org/10.1073/pnas.2304755120,2025,2
https://doi.org/10.1073/pnas.2304755120,2024,5
https://doi.org/10.1111/poms.14042,2025,1
https://doi.org/10.1111/poms.14042,2024,3
https://doi.org/10.1111/poms.14042,2023,4
https://doi.org/10.1016/j.matdes.2023.112182,2025,3
https://doi.org/10.1016/j.matdes.2023.112182,2024,5
https://doi.org/10.1016/j.matdes.2023.112182,2023,1
https://doi.org/10.1016/j.mechmachtheory.2023.105443,2025,2
https://doi.org/10.1016/j.mechmachtheory.2023.105443,2024,5
https://doi.org/10.2147/prbm.s414543,2025,1
https://doi.org/10.2147/prbm.s414543,2024,5
https://doi.org/10.2147/prbm.s414543,2023,1
https://doi.org/10.1039/d3qm00334e,2024,7
https://doi.org/10.1016/j.simpat.2023.102797,2024,6
https://doi.org/10.1016/j.simpat.2023.102797,2023,1
https://doi.org/10.1080/10298436.2023.2235631,2025,2
https://doi.org/10.1080/10298436.2023.2235631,2024,3
https://doi.org/10.1080/10298436.2023.2235631,2023,1
https://doi.org/10.1016/j.nedt.2023.105894,2025,1
https://doi.org/10.1016/j.nedt.2023.105894,2024,7
https://doi.org/10.3389/fenvs.2023.1207882,2025,2
https://doi.org/10.3389/fenvs.2023.1207882,2024,5
https://doi.org/10.1016/j.energy.2023.128302,2025,1
https://doi.org/10.1016/j.energy.2023.128302,2024,3
https://doi.org/10.1016/j.energy.2023.128302,2023,2
https://doi.org/10.3390/polym15132934,2024,5
https://doi.org/10.3390/polym15132934,2023,1
https://doi.org/10.3390/molecules28135100,2025,1
https://doi.org/10.3390/molecules28135100,2024,4
https://doi.org/10.3390/molecules28135100,2023,2
https://doi.org/10.3390/s23136189,2025,1
https://doi.org/10.3390/s23136189,2024,3
https://doi.org/10.3390/s23136189,2023,1
https://doi.org/10.1016/j.jobe.2023.107270,2025,1
https://doi.org/10.1016/j.jobe.2023.107270,2024,3
https://doi.org/10.1016/j.jobe.2023.107270,2023,1
https://doi.org/10.1016/j.jobe.2023.106959,2025,2
https://doi.org/10.1016/j.jobe.2023.106959,2024,3
https://doi.org/10.1016/j.jobe.2023.106959,2023,1
https://doi.org/10.1016/j.envres.2023.116591,2025,1
https://doi.org/10.1016/j.envres.2023.116591,2024,6
