doi,oa_author_id,oa_author_position,oa_author_is_corresponding,oa_author_raw_name
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5004853400,middle,False,Zhigang Xia
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5100383758,middle,False,Jiaxin Liu
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5100455217,middle,False,Pan Li
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5100737172,middle,False,Zhenhua Wu
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5026764704,middle,False,Yamei Yue
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5006194526,middle,False,Yuanzhuo Xiang
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5064537525,middle,False,Jinchang Meng
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5102813653,middle,False,Dexiang Liu
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5085026059,middle,True,Weilin Xu
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5087298250,middle,True,Xiaoming Tao
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5034248362,middle,True,Guangming Tao
https://doi.org/10.1002/adfm.202107682,https://openalex.org/A5000486867,last,True,Bin Su
https://doi.org/10.1002/cae.22458,https://openalex.org/A5100340740,first,False,Chen Wang
https://doi.org/10.1002/cae.22458,https://openalex.org/A5039974646,middle,False,Yutong Tang
https://doi.org/10.1002/cae.22458,https://openalex.org/A5083105088,middle,True,Mukhtar A. Kassem
https://doi.org/10.1002/cae.22458,https://openalex.org/A5100338802,middle,False,Heng Li
https://doi.org/10.1002/cae.22458,https://openalex.org/A5051424667,last,False,Bingqing Hua
https://doi.org/10.1016/j.cej.2021.131698,https://openalex.org/A5041466648,first,False,Xiaoyang Guan
https://doi.org/10.1016/j.cej.2021.131698,https://openalex.org/A5051433789,middle,True,Bingang Xu
https://doi.org/10.1016/j.cej.2021.131698,https://openalex.org/A5103102065,middle,False,Junxian Huang
https://doi.org/10.1016/j.cej.2021.131698,https://openalex.org/A5088270663,middle,False,Titao Jing
https://doi.org/10.1016/j.cej.2021.131698,https://openalex.org/A5100759976,last,False,Yuanyuan Gao
https://doi.org/10.1007/s11187-021-00474-9,https://openalex.org/A5100321982,first,False,Yun Liu
https://doi.org/10.1007/s11187-021-00474-9,https://openalex.org/A5100386924,middle,True,Yifei Zhang
https://doi.org/10.1007/s11187-021-00474-9,https://openalex.org/A5058434455,middle,False,Heyang Fang
https://doi.org/10.1007/s11187-021-00474-9,https://openalex.org/A5067882551,last,False,Xin Chen
https://doi.org/10.1016/j.enrev.2022.100010,https://openalex.org/A5100455819,first,False,Fei Wang
https://doi.org/10.1016/j.enrev.2022.100010,https://openalex.org/A5100462720,middle,False,Yu Han
https://doi.org/10.1016/j.enrev.2022.100010,https://openalex.org/A5058180243,middle,False,Dawei Duan
https://doi.org/10.1016/j.enrev.2022.100010,https://openalex.org/A5003142418,middle,False,Chuangye Ge
https://doi.org/10.1016/j.enrev.2022.100010,https://openalex.org/A5068499737,middle,True,Hanlin Hu
https://doi.org/10.1016/j.enrev.2022.100010,https://openalex.org/A5100438640,last,True,Gang Li
https://doi.org/10.1002/gch2.202200050,https://openalex.org/A5031938909,first,False,Ruihan Zhang
https://doi.org/10.1002/gch2.202200050,https://openalex.org/A5046322011,middle,False,Xingyi Shi
https://doi.org/10.1002/gch2.202200050,https://openalex.org/A5012179843,middle,False,Oladapo Christopher Esan
https://doi.org/10.1002/gch2.202200050,https://openalex.org/A5090687467,last,True,Liang An
https://doi.org/10.1016/j.matdes.2022.111358,https://openalex.org/A5003459439,first,False,Xiang Li
https://doi.org/10.1016/j.matdes.2022.111358,https://openalex.org/A5077000535,middle,False,Linyi Cui
https://doi.org/10.1016/j.matdes.2022.111358,https://openalex.org/A5032335317,middle,False,Jikang Li
https://doi.org/10.1016/j.matdes.2022.111358,https://openalex.org/A5100383066,middle,False,Ying Chen
https://doi.org/10.1016/j.matdes.2022.111358,https://openalex.org/A5025396565,middle,False,Wei Han
https://doi.org/10.1016/j.matdes.2022.111358,https://openalex.org/A5012326389,middle,False,Sara Shonkwiler
https://doi.org/10.1016/j.matdes.2022.111358,https://openalex.org/A5028643684,last,True,Sara McMains
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5001354286,first,False,Yin Hoi Chan
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5100388301,middle,False,Yi Zhang
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5048186138,middle,False,Thilhara Tennakoon
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5086372305,middle,False,Sau Chung Fu
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5001918992,middle,False,Ka Chung Chan
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5049566717,middle,False,Chi Yan Tso
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5002707278,middle,False,Kin Man Yu
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5037717825,middle,False,Man Pun Wan
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5112683960,middle,False,Bao Ling Huang
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5032025690,middle,False,Shuhuai Yao
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5089798964,middle,False,Hui He Qiu
https://doi.org/10.1016/j.enconman.2022.116342,https://openalex.org/A5024757835,last,False,Christopher Yu Hang Chao
https://doi.org/10.1609/aaai.v36i1.19976,https://openalex.org/A5112863521,first,False,Wentai Hou
https://doi.org/10.1609/aaai.v36i1.19976,https://openalex.org/A5012581106,middle,False,Lequan Yu
https://doi.org/10.1609/aaai.v36i1.19976,https://openalex.org/A5085146582,middle,False,Chengxuan Lin
https://doi.org/10.1609/aaai.v36i1.19976,https://openalex.org/A5005127901,middle,False,Helong Huang
https://doi.org/10.1609/aaai.v36i1.19976,https://openalex.org/A5068270780,middle,False,Rongshan Yu
https://doi.org/10.1609/aaai.v36i1.19976,https://openalex.org/A5005393674,middle,False,Jing Qin
https://doi.org/10.1609/aaai.v36i1.19976,https://openalex.org/A5100613491,last,False,Liansheng Wang
https://doi.org/10.1016/j.fecs.2022.100065,https://openalex.org/A5003751227,first,False,Reda Fekry
https://doi.org/10.1016/j.fecs.2022.100065,https://openalex.org/A5100647649,middle,True,Wei Yao
https://doi.org/10.1016/j.fecs.2022.100065,https://openalex.org/A5083073196,middle,False,Lin Cao
https://doi.org/10.1016/j.fecs.2022.100065,https://openalex.org/A5031929340,last,False,Xin Shen
https://doi.org/10.1002/advs.202203189,https://openalex.org/A5073997971,first,False,Hai Deng
https://doi.org/10.1002/advs.202203189,https://openalex.org/A5047017899,middle,False,Wenfei Wei
https://doi.org/10.1002/advs.202203189,https://openalex.org/A5101404296,middle,False,Lei Yao
https://doi.org/10.1002/advs.202203189,https://openalex.org/A5082001058,middle,False,Zijian Zheng
https://doi.org/10.1002/advs.202203189,https://openalex.org/A5100356453,middle,False,Bei Li
https://doi.org/10.1002/advs.202203189,https://openalex.org/A5068504791,middle,False,Amr Abdelkader
https://doi.org/10.1002/advs.202203189,https://openalex.org/A5059004865,last,True,Libo Deng
https://doi.org/10.1039/d2gc02568j,https://openalex.org/A5046328795,first,False,Qiaozhi Zhang
https://doi.org/10.1039/d2gc02568j,https://openalex.org/A5082102216,middle,False,Shuguang Xu
https://doi.org/10.1039/d2gc02568j,https://openalex.org/A5112235485,middle,False,Yang Cao
https://doi.org/10.1039/d2gc02568j,https://openalex.org/A5079224596,middle,False,Roger Ruan
https://doi.org/10.1039/d2gc02568j,https://openalex.org/A5007470779,middle,False,James H. Clark
https://doi.org/10.1039/d2gc02568j,https://openalex.org/A5048671077,middle,False,Changwei Hu
https://doi.org/10.1039/d2gc02568j,https://openalex.org/A5076771261,last,True,Daniel C. W. Tsang
https://doi.org/10.1161/strokeaha.121.037870,https://openalex.org/A5100349806,first,False,Jack Jiaqi Zhang
https://doi.org/10.1161/strokeaha.121.037870,https://openalex.org/A5006279068,middle,False,Zhongfei Bai
https://doi.org/10.1161/strokeaha.121.037870,https://openalex.org/A5022077207,last,False,Kenneth N.K. Fong
https://doi.org/10.1016/j.psep.2022.04.049,https://openalex.org/A5021135333,first,True,Huichang Niu
