doi,oa_author_id,oa_country_code
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5066939099,US
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5010850538,DE
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5022545786,FR
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5034865727,US
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5089195935,CN
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5111472336,BE
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5070379714,DE
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5056687763,FR
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5103216369,US
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5103216369,FR
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5078529434,US
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5011743212,BE
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5054828718,DE
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5021914138,FR
https://doi.org/10.1029/2021gl094204,https://openalex.org/A5100653142,HK
https://doi.org/10.1016/j.tourman.2021.104331,https://openalex.org/A5028624800,HK
https://doi.org/10.1016/j.tourman.2021.104331,https://openalex.org/A5010312858,CN
https://doi.org/10.3390/biology10040259,https://openalex.org/A5052225782,HK
https://doi.org/10.3390/biology10040259,https://openalex.org/A5052225782,CN
https://doi.org/10.3390/biology10040259,https://openalex.org/A5100356358,HK
https://doi.org/10.3390/biology10040259,https://openalex.org/A5100356358,CN
https://doi.org/10.3390/biology10040259,https://openalex.org/A5103149796,HK
https://doi.org/10.3390/biology10040259,https://openalex.org/A5103149796,CN
https://doi.org/10.3390/biology10040259,https://openalex.org/A5100329931,HK
https://doi.org/10.3390/biology10040259,https://openalex.org/A5100329931,CN
https://doi.org/10.3390/biology10040259,https://openalex.org/A5085967847,HK
https://doi.org/10.3390/biology10040259,https://openalex.org/A5085967847,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5067812368,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5100364529,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5042152123,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5100331358,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5112079114,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5001481398,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5013975435,CN
https://doi.org/10.4103/2347-5625.311005,https://openalex.org/A5002562512,HK
https://doi.org/10.3390/rs13061107,https://openalex.org/A5028865865,HK
https://doi.org/10.3390/rs13061107,https://openalex.org/A5028865865,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5102022513,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5046744673,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5100452118,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5069565271,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5101882153,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5101532183,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5086109470,CN
https://doi.org/10.3390/rs13061107,https://openalex.org/A5101598070,CN
https://doi.org/10.1016/j.nanoen.2021.106005,https://openalex.org/A5100425458,CN
